"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_author","comment_status","sku","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","manage_stock","tax_status","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","sold_individually","low_stock_amount","purchase_note","product_page_url","images","downloadable_files","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","tax:fb_product_set","attribute:Colour","attribute_data:Colour","attribute_default:Colour","attribute:Comfort","attribute_data:Comfort","attribute_default:Comfort","attribute:Features","attribute_data:Features","attribute_default:Features","attribute:Filler Material","attribute_data:Filler Material","attribute_default:Filler Material","attribute:Item Shape","attribute_data:Item Shape","attribute_default:Item Shape","attribute:Mattress Thickness","attribute_data:Mattress Thickness","attribute_default:Mattress Thickness","attribute:Primary Material","attribute_data:Primary Material","attribute_default:Primary Material","attribute:Shipping","attribute_data:Shipping","attribute_default:Shipping","attribute:Thickness","attribute_data:Thickness","attribute_default:Thickness","attribute:Top Material","attribute_data:Top Material","attribute_default:Top Material","attribute:What is in the box?","attribute_data:What is in the box?","attribute_default:What is in the box?","attribute:pa_assembly-required","attribute_data:pa_assembly-required","attribute_default:pa_assembly-required","attribute:pa_colour","attribute_data:pa_colour","attribute_default:pa_colour","attribute:pa_compatible-mattress","attribute_data:pa_compatible-mattress","attribute_default:pa_compatible-mattress","attribute:pa_fiber-pillow-size","attribute_data:pa_fiber-pillow-size","attribute_default:pa_fiber-pillow-size","attribute:pa_height","attribute_data:pa_height","attribute_default:pa_height","attribute:pa_hsn-code","attribute_data:pa_hsn-code","attribute_default:pa_hsn-code","attribute:pa_item-dimensions-lxwxh","attribute_data:pa_item-dimensions-lxwxh","attribute_default:pa_item-dimensions-lxwxh","attribute:pa_material","attribute_data:pa_material","attribute_default:pa_material","attribute:pa_mattress-comfort","attribute_data:pa_mattress-comfort","attribute_default:pa_mattress-comfort","attribute:pa_shipping","attribute_data:pa_shipping","attribute_default:pa_shipping","attribute:pa_size","attribute_data:pa_size","attribute_default:pa_size","attribute:pa_sofabed-size","attribute_data:pa_sofabed-size","attribute_default:pa_sofabed-size","attribute:pa_soft-pillow-size","attribute_data:pa_soft-pillow-size","attribute_default:pa_soft-pillow-size","attribute:pa_storage-type","attribute_data:pa_storage-type","attribute_default:pa_storage-type","attribute:pa_type-of-product","attribute_data:pa_type-of-product","attribute_default:pa_type-of-product","attribute:pa_warranty","attribute_data:pa_warranty","attribute_default:pa_warranty"
"Sleepyhead&#x2122; Bed-GS - Solid wood DIY bed with storage","sleepyhead-bed-gs-solid-wood-diy-bed-with-storage","65694","","Say hello to bed GS by Sleepyhead. Clean lines and pure natural wood grain in a timeless refresh to complement your bed room or guest room. Crafted with four sizable chambers, this bed frame offers high utility in terms of storage as well. The sturdy slat headboard is designed for your comfort to ean back and relax while you sit up or having your breakfast in bed.","publish","0","2021-05-24 08:10:49","7","open","SHBEDGS","no","no","","18999","","","","","","18","","outofstock","no","no","taxable","","","","","","-1","-1","","","no","","","https://mysleepyhead.com/product/sleepyhead-bed-gs-solid-wood-diy-bed-with-storage/","https://mysleepyhead.com/wp-content/uploads/2021/05/SH-Bed-GS-web_0002_Layer-13.jpg | https://mysleepyhead.com/wp-content/uploads/2021/05/SH-Bed-GS-web_0004_Layer-12.jpg | https://mysleepyhead.com/wp-content/uploads/2021/05/SH-Bed-GS-web_0005_Layer-11.jpg | https://mysleepyhead.com/wp-content/uploads/2021/05/SH-Bed-GS-web_0006_Layer-8.jpg | https://mysleepyhead.com/wp-content/uploads/2021/05/SH-Bed-GS-web_0007_Layer-10.jpg | https://mysleepyhead.com/wp-content/uploads/2021/05/SH-Bed-GS-web_0008_Layer-9.jpg","","variable","outofstock|rated-5","Beds > Bed with Storage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes (DIY)","5|1|0","","Brown","2|1|0","","King: 78X72, Queen: 78X60","6|1|0","","","","","","","","94035010","10|1|0","","King: 2.02 x 1.6 x 0.86 Meters, Queen: 1.98 x 1.90 x .86 Meters","4|1|0","","Solid Wood","1|0|0","","","","","Free Delivery Direct from factory / warehouse","8|1|0","","King|Queen","0|1|1","king","","","","","","","Box Storage","7|1|0","","Bed with Storage","3|1|0","","3 Year Limited Domestic Brand Warranty","9|1|0",""
"Sleepyhead&#x2122; Bed-G - Solid wood DIY bed without storage","sleepyhead-bed-g-solid-wood-diy-bed-without-storage","65732","","Say hello to bed G by Sleepyhead. Well, actually you'll be saying zzzzz because this is quite possibly the one bed frame that makes our mattresses even more comfortable. Made of sturdy solid wood, this bed frame is aesthetically designed to be compact and fit into any bedroom, whether in size or decor.","publish","0","2021-05-24 08:24:55","7","open","SHBEDG","no","no","","18999","","","","","","18","","outofstock","no","no","taxable","","","","","","-1","-1","","","no","","","https://mysleepyhead.com/product/sleepyhead-bed-g-solid-wood-diy-bed-without-storage/","https://mysleepyhead.com/wp-content/uploads/2021/05/SH-Bed-G-web_0002_Layer-7.jpg | https://mysleepyhead.com/wp-content/uploads/2021/05/SH-Bed-G-web_0003_Layer-6-1.jpg | https://mysleepyhead.com/wp-content/uploads/2021/05/SH-Bed-G-web_0004_Layer-5-1.jpg | https://mysleepyhead.com/wp-content/uploads/2021/05/SH-Bed-G-web_0005_Layer-3.jpg | https://mysleepyhead.com/wp-content/uploads/2021/05/SH-Bed-G-web_0006_Layer-2-1.jpg | https://mysleepyhead.com/wp-content/uploads/2021/05/SH-Bed-G-web_0007_Layer-1-1.jpg","","variable","outofstock","Beds > Bed Without Storage|Beds","","","","Brown","2|1|0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes (DIY)","12|1|0","","","","","King: 78X72, Queen: 78X60","13|1|0","","","","","","","","94035010","17|1|0","","King: 2.02 x 1.6 x 0.86 Meters, Queen: 1.98 x 1.90 x .86 Meters","11|1|0","","Solid Wood","1|0|0","","","","","Free Delivery Direct from factory / warehouse","15|1|0","","King|Queen","0|1|1","king","","","","","","","No Storage","14|1|0","","Bed Without Storage","3|1|0","","3 Year Limited Domestic Brand Warranty","16|1|0",""
